dt,close
2011-02-28,72.47000122070312
2011-03-01,71.18000030517578
2011-03-02,70.45999908447266
2011-03-03,72.19999694824219
2011-03-04,73.0199966430664
2011-03-07,72.30999755859375
2011-03-08,72.1500015258789
2011-03-09,72.58999633789062
2011-03-10,68.51000213623047
2011-03-11,70.33999633789062
2011-03-14,71.37999725341797
2011-03-15,71.61000061035156
2011-03-16,71.23999786376953
2011-03-17,73.01000213623047
2011-03-18,72.26000213623047
2011-03-21,73.19000244140625
2011-03-22,72.08000183105469
2011-03-23,71.13999938964844
2011-03-24,71.18000030517578
2011-03-25,72.61000061035156
2011-03-28,70.94000244140625
2011-03-29,73.0999984741211
2011-03-30,74.19000244140625
2011-03-31,74.19000244140625
2011-04-01,76.26000213623047
2011-04-04,76.19000244140625
2011-04-05,77.56999969482422
2011-04-06,74.72000122070312
2011-04-07,74.77999877929688
2011-04-08,74.86000061035156
2011-04-11,71.79000091552734
2011-04-12,68.7699966430664
2011-04-13,69.93000030517578
2011-04-14,70.08000183105469
2011-04-15,71.72000122070312
2011-04-18,69.83999633789062
2011-04-19,71.79000091552734
2011-04-20,74.41000366210938
2011-04-21,74.69000244140625
2011-04-25,74.61000061035156
2011-04-26,75.12000274658203
2011-04-27,75.12999725341797
2011-04-28,74.62999725341797
2011-04-29,75.86000061035156
2011-05-02,74.76000213623047
2011-05-03,68.3499984741211
2011-05-04,66.05000305175781
2011-05-05,63.75
2011-05-06,65.26000213623047
2011-05-09,67.77999877929688
2011-05-10,67.5199966430664
2011-05-11,64.83000183105469
2011-05-12,64.25
2011-05-13,63.93000030517578
2011-05-16,63.470001220703125
2011-05-17,62.279998779296875
2011-05-18,64.26000213623047
2011-05-19,64.31999969482422
2011-05-20,65.27999877929688
2011-05-23,62.63999938964844
2011-05-24,63.66999816894531
2011-05-25,66.23999786376953
2011-05-26,66.80000305175781
2011-05-27,66.81999969482422
2011-05-31,66.48999786376953
2011-06-01,67.73999786376953
2011-06-02,68.76000213623047
2011-06-03,69.66999816894531
2011-06-06,67.13999938964844
2011-06-07,67.45999908447266
2011-06-08,67.55000305175781
2011-06-09,67.66999816894531
2011-06-10,66.0
2011-06-13,64.5999984741211
2011-06-14,65.37999725341797
2011-06-15,63.04999923706055
2011-06-16,63.849998474121094
